especievalida,nombrecomun,estadomapa,claveestadomapa,municipiomapa,clavemunicipiomapa,localidad,region,longitud,latitud
Heliomaster constantii,"colibrí picudo, colibrí picudo occidental",AGUASCALIENTES,01,CALVILLO,01003,Cascada Los Huenchos,MEXICO / AGUASCALIENTES / CALVILLO,-102.7852545,21.8816502
Harpia harpyja,águila arpía,CHIAPAS,07,OCOSINGO,07059,Reserva de la Biosfera Montes Azules--Estación Chajul,MEXICO / CHIAPAS / OCOSINGO,-90.940876,16.111792
Harpagus bidentatus fasciatus,gavilán bidentado,CHIAPAS,07,MARAVILLA TENEJAPA,07115,RodulfoF8,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3028611,16.2015278
Harpagus bidentatus,gavilán bidentado,CAMPECHE,04,CALAKMUL,04010,Reserva de la Biosfera Calakmul--Humedal,MEXICO / CAMPECHE / CALAKMUL,-89.3328902,18.5042572
Haplospiza rustica uniformis,semillero pizarra,CHIAPAS,07,CACAHOATAN,07015,VOLCAN TACANA,MEXICO / CHIAPAS,-92.11,15.1316667
Haplospiza rustica,semillero pizarra,CHIAPAS,07,OCOZOCOAUTLA DE ESPINOSA,07061,Selva El Ocote,MEXICO / CHIAPAS / OCOZOCOAUTLA DE ESPINOSA,-93.6666667,17
Hapalocrex flaviventer,polluela pecho amarillo,CHIAPAS,07,LA TRINITARIA,07099,"GUATEMALA, 31 KM E, LA TRINITARIA",MEXICO / CHIAPAS,-91.8516667,15.9
Haliaeetus leucocephalus,águila cabeza blanca,BAJA CALIFORNIA,02,ENSENADA,02001,PN Constitucion de 1857--Laguna Juarez/Laguna Hanson,MEXICO / BAJA CALIFORNIA / ENSENADA,-115.9085083,32.0453328
Haemorhous purpureus,"pinzón colorado, pinzón purpúreo",BAJA CALIFORNIA,02,ENSENADA,02001,Bodegas Santo Tomás,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.413064,31.5807747
Haemorhous mexicanus,pinzón mexicano,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Haemorhous cassinii,"pinzón de Cassin, pinzón serrano",AGUASCALIENTES,01,PABELLON DE ARTEAGA,01006,"Ejido Garabato, Pabellón de Arteaga, Ags., México",MEXICO / AGUASCALIENTES / PABELLON DE ARTEAGA,-102.3905081,22.0472399
Haematopus palliatus,ostrero americano,BAJA CALIFORNIA,02,ENSENADA,02001,La Bufadora,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.7229718,31.7237458
Haematopus bachmani,ostrero negro,BAJA CALIFORNIA,02,ENSENADA,02001,La Bufadora,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.7229718,31.7237458
Habia rubica rubicoides,tángara-hormiguera corona roja,CHIAPAS,07,OCOSINGO,07059,Ixcan P4,MEXICO / CHIAPAS / OCOSINGO,-91.0730556,16.0789722
Habia rubica,"piranga hormiguera corona roja, tangara-hormiguera corona roja",CAMPECHE,04,HOPELCHEN,04006,Pachuitz,MEXICO / CAMPECHE / HOPELCHEN,-89.2474365,19.1458169
Habia fuscicauda,"piranga hormiguera garganta roja, tangara-hormiguera garganta roja",CAMPECHE,04,CALAKMUL,04010,"Oxpetun, Yaxché Campeche Conhuas-Calakmul Zona Arqueológica, Campeche, MX (18.534, -89.901)",MEXICO / CAMPECHE / CALAKMUL,-89.9012736,18.5338613
Gymnorhinus cyanocephalus,chara piñonera,BAJA CALIFORNIA,02,ENSENADA,02001,SIERRA DE SAN PEDRO MARTIR,MEXICO / BAJA CALIFORNIA,-115.30667,30.78667
Gymnogyps californianus,cóndor californiano,BAJA CALIFORNIA,02,SAN QUINTIN,02006,San Pedro Martir - ~73.5 km,MEXICO / BAJA CALIFORNIA / ENSENADA,-115.6101406,30.9651247
Grus americana,grulla blanca,TAMAULIPAS,28,SAN FERNANDO,28035,58 MI SW MATAMOROS,MEXICO / TAMAULIPAS,-98.0566667,25.12
Granatellus venustus venustus,granatelo mexicano,CHIAPAS,07,TUXTLA GUTIERREZ,07101,REGION DE TUXTLA GUTIERREZ,MEXICO / CHIAPAS,-93.1083333,16.7483333
Granatellus venustus,granatelo mexicano,CHIAPAS,07,SAN FERNANDO,07079,"El Sumidero, Chiapas., Mexico",MEXICO / CHIAPAS / SAN FERNANDO,-93.1104664,16.8479447
Granatellus sallaei sallaei,granatelo yucateco,CHIAPAS,07,OCOSINGO,07059,LAGUNA OCOTAL,MEXICO / CHIAPAS,-91.4366667,16.8116667
Granatellus sallaei boucardi,granatelo yucateco,CAMPECHE,04,ESCARCEGA,04009,Matamoros,MEXICO / CAMPECHE,-90.6466667,18.58
Granatellus sallaei,granatelo yucateco,CAMPECHE,04,CALAKMUL,04010,"Mancolona, Campeche, MX (18.814, -89.29)",MEXICO / CAMPECHE / CALAKMUL,-89.2901742,18.8142339
Grallaria guatimalensis ochraceiventris,hormiguero-cholino escamoso,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cañada3,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3101389,16.2019444
Grallaria guatimalensis guatimalensis,hormiguero-cholino escamoso,CHIAPAS,07,OCOSINGO,07059,"OCOSINGO, PALMA REAL",MEXICO / CHIAPAS,-92.0933333,16.9016667
Grallaria guatimalensis,hormiguero cholino escamoso,CHIAPAS,07,TEOPISCA,07094,Teopisca,MEXICO / CHIAPAS,-92.474119,16.545467
Glyphorynchus spirurus,trepatroncos pico cuña,CHIAPAS,07,OCOZOCOAUTLA DE ESPINOSA,07061,"Ocozocoautla, 24.5 Km al NNW, por carretera",MEXICO / CHIAPAS / OCOZOCOAUTLA DE ESPINOSA,-93.5319444,16.9138889
Glaucidium sanchezi,tecolote tamaulipeco,HIDALGO,13,TLANCHINOL,13073,Lontla,MEXICO / HIDALGO / TLANCHINOL,-98.64,21.0375
Glaucidium palmarum,tecolote colimense,CHIHUAHUA,08,URIQUE,08065,Urique (Road North ot Naranjo),MEXICO / CHIHUAHUA / URIQUE,-107.9070866,27.2277094
Glaucidium griseiceps,tecolote mesoamericano,CHIAPAS,07,MARQUES DE COMILLAS,07116,"Marqués de Comíllas, CHIS, Marqués de Comíllas MX-CHIS (16.2504,-90.8376)",MEXICO / CHIAPAS / MARQUES DE COMILLAS,-90.837595,16.250392
Glaucidium gnoma,tecolote serrano,AGUASCALIENTES,01,CALVILLO,01003,"Calvillo, Ags., México",MEXICO / AGUASCALIENTES / CALVILLO,-102.840121,21.8207677
Glaucidium brasilianum,tecolote bajeño,CAMPECHE,04,CALAKMUL,04010,Nuevo Becal 0.5 Km al Sureste,MEXICO / CAMPECHE / CALAKMUL,-89.3008333,18.605
Geranospiza caerulescens,gavilán zancón,CAMPECHE,04,CALAKMUL,04010,"Oxpetun, Yaxché Campeche Conhuas-Calakmul Zona Arqueológica, Campeche, MX (18.534, -89.901)",MEXICO / CAMPECHE / CALAKMUL,-89.9012736,18.5338613
Geranoaetus albicaudatus,aguililla cola blanca,AGUASCALIENTES,01,AGUASCALIENTES,01001,Trojes de Alonso,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2994518,21.9359598
Geotrygon montana montana,paloma-perdiz rojiza,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cañada12,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3059167,16.2036389
Geotrygon montana,"paloma canela, paloma-perdiz rojiza",CAMPECHE,04,CALAKMUL,04010,Calakmul - Dos Naciones camp area,MEXICO / CAMPECHE / CALAKMUL,-89.3645047,17.9672613
Geothlypis trichas occidentalis,mascarita común,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cañada4,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3097778,16.2020833
Geothlypis trichas,mascarita común,AGUASCALIENTES,01,AGUASCALIENTES,01001,Presa del Niagara,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.372365,21.8045317
Geothlypis tolmiei monticola,chipe de Tolmie,CHIHUAHUA,08,ASCENSION,08005,LAGO SANTA MARIA,MEXICO / CHIHUAHUA,-107.2833333,31.1333333
Geothlypis tolmiei,"chipe de Tolmie, chipe lores negros",AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,"Monte Grande, Sierra Fría",MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.6189456,22.2618257
Geothlypis speciosa,"mascarita del Lerma, mascarita transvolcánica",CIUDAD DE MEXICO,09,CUAUHTEMOC,09015,Mexico City area,MEXICO / DISTRITO FEDERAL,-99.13,19.4266667
Geothlypis poliocephala,mascarita pico grueso,AGUASCALIENTES,01,CALVILLO,01003,"Los Alisos, Calvillo",MEXICO / AGUASCALIENTES / CALVILLO,-102.717458,21.7408751
Geothlypis philadelphia,"chipe de pechera, chipe enlutado",BAJA CALIFORNIA,02,ENSENADA,02001,C.S.C.C. Riviera del Pacífico,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6190607,31.8588418
Geothlypis nelsoni,mascarita matorralera,CAMPECHE,04,CALKINI,04001,Isla piedra,MEXICO / CAMPECHE / CALKINI,-90.4963611,20.3409167
Geothlypis formosa,chipe patilludo,BAJA CALIFORNIA,02,ENSENADA,02001,lower Rio Santo Tomas,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.5595818,31.571857
Geothlypis flavovelata,mascarita de Altamira,NUEVO LEON,19,LINARES,19033,Camino a Cerro Prieto,MEXICO / NUEVO LEON / LINARES,-99.4641951,24.9097515
Geothlypis beldingi,"mascarita bajacaliforniana, mascarita peninsular",BAJA CALIFORNIA,02,TIJUANA,02004,Santa Anita,MEXICO / BAJA CALIFORNIA,-116.795,32.3633333
Geococcyx velox,correcaminos tropical,CAMPECHE,04,CALKINI,04001,"MX-Campeche - 20.441x-90.009 - May. 13, 2017 7:03 PM",MEXICO / CAMPECHE / CALKINI,-90.0092603,20.4414038
Geococcyx californianus,correcaminos norteño,AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.233884,22.348508
Gelochelidon nilotica,charrán pico grueso,BAJA CALIFORNIA,02,MEXICALI,02002,Río Colorado - RC29-6,MEXICO / BAJA CALIFORNIA / MEXICALI,-115.1821494,32.1804512
Gavia stellata,colimbo menor,BAJA CALIFORNIA,02,ENSENADA,02001,"Lengüeta Arenosa, Baja California, MX (31.754, -116.629)",MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6287146,31.753972
Gavia pacifica,"colimbo del pacífico, colimbo pacífico",AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,"San José de Gracia, Ags., México",MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.4221537,22.1457049
Gavia immer,"colimbo común, colimbo mayor",BAJA CALIFORNIA,02,ENSENADA,02001,PN Constitucion de 1857--Laguna Juarez/Laguna Hanson,MEXICO / BAJA CALIFORNIA / ENSENADA,-115.9085083,32.0453328
Gavia arctica,colimbo ártico,SONORA,26,GUAYMAS,26029,GUAYMAS,MEXICO / SONORA,-110.898915,27.9185669
Gavia adamsii,"colimbo de Adams, colimbo pico amarillo",BAJA CALIFORNIA,02,ENSENADA,02001,Puerto Ensenada,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6256237,31.8517525
Gallinula galeata,gallineta frente roja,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Gallinago delicata,"agachona común, agachona norteamericana",AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.233884,22.348508
Galbula ruficauda melanogenia,jacamar cola rufa,CHIAPAS,07,OCOSINGO,07059,Ixcan P4,MEXICO / CHIAPAS / OCOSINGO,-91.0730556,16.0789722
Galbula ruficauda,"jacamar cola canela, jacamar cola rufa",CAMPECHE,04,CALAKMUL,04010,Calakmul - Dos Naciones camp area,MEXICO / CAMPECHE / CALAKMUL,-89.3645047,17.9672613
Fulmarus glacialoides,flumar antártico,BAJA CALIFORNIA SUR,03,LA PAZ,03003,La Paz,MEXICO / BAJA CALIFORNIA SUR,-110.25,24.15
Fulmarus glacialis,fulmar norteño,BAJA CALIFORNIA,02,ENSENADA,02001,MX,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.619675,31.7739033
Fulica americana,gallareta americana,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Fregata minor,fragata pelágica,BAJA CALIFORNIA SUR,03,LOS CABOS,03008,Punta Arena,MEXICO / BAJA CALIFORNIA SUR / LOS CABOS,-109.47348,23.5540365
Fregata magnificens,"fragata magnífica, fragata tijereta",BAJA CALIFORNIA,02,ENSENADA,02001,"Auto selected 30.55621, -114.66026",MEXICO / BAJA CALIFORNIA / ENSENADA,-114.660255,30.556209
Fratercula cirrhata,frailecillo copetón,BAJA CALIFORNIA,02,SAN QUINTIN,02006,LOS MARTIRES,MEXICO / BAJA CALIFORNIA,-115.455,30.1933333
Forpus cyanopygius cyanopygius,catarina de las Islas Marías,JALISCO,14,AUTLAN DE NAVARRO,14015,LA CUMBRE 9 MI SSE AUTLAN,MEXICO / JALISCO,-104.31,19.6583333
Forpus cyanopygius,"perico catarina, periquito catarino",COLIMA,06,COLIMA,06002,"rancho la felicidad cuauthemoc Colima, Colima",MEXICO,-103.6714,19.254
Formicarius moniliger moniliger,hormiguero-gallito mexicano,CHIAPAS,07,MARAVILLA TENEJAPA,07115,RodulfoF3,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3078333,16.2011667
Formicarius moniliger,hormiguero cholino maya,CAMPECHE,04,CALAKMUL,04010,Calakmul - Dos Naciones camp area,MEXICO / CAMPECHE / CALAKMUL,-89.3645047,17.9672613
Florisuga mellivora mellivora,colibrí nuca blanca,CHIAPAS,07,VILLA CORZO,07107,15 MI. ESE TONALá,MEXICO / CHIAPAS,-93.5233333,16.0866667
Florisuga mellivora,"colibrí capucha azul, colibrí nuca blanca",CHIAPAS,07,MAPASTEPEC,07051,Above Mapastepec,MEXICO / CHIAPAS / MAPASTEPEC,-92.8918767,15.4802515
Falco sparverius,cernícalo americano,AGUASCALIENTES,01,ASIENTOS,01002,,MEXICO / AGUASCALIENTES / ASIENTOS,-102.080175,22.23498
Falco rufigularis,"halcón enano, halcón murcielaguero",CAMPECHE,04,CALAKMUL,04010,Calakmul - Dos Naciones camp area,MEXICO / CAMPECHE / CALAKMUL,-89.3645047,17.9672613
Falco peregrinus anatum,halcón peregrino,BAJA CALIFORNIA,02,PLAYAS DE ROSARITO,02005,Bahia Descanso,MEXICO / BAJA CALIFORNIA,-116.8333333,32.2166667
Falco peregrinus,halcón peregrino,AGUASCALIENTES,01,SAN FRANCISCO DE LOS ROMO,01011,Viñedos Ribier,MEXICO / AGUASCALIENTES / SAN FRANCISCO DE LOS ROMO,-102.2844385,21.9763896
Falco mexicanus,halcón mexicano,AGUASCALIENTES,01,ASIENTOS,01002,Adolfo López Mateos,MEXICO / AGUASCALIENTES / ASIENTOS,-102.2073806,22.1351723
Falco femoralis,halcón fajado,CAMPECHE,04,PALIZADA,04007,"Avenida Ignacio Ramírez, Palizada MX-CAMP 18.25592, -92.09994",MEXICO / CAMPECHE / PALIZADA,-92.099939,18.255921
Falco columbarius richardsonii,halcón esmerejón,BAJA CALIFORNIA SUR,03,LOS CABOS,03008,Santiago,MEXICO / BAJA CALIFORNIA SUR,-109.7,23.4666667
Falco columbarius columbarius,halcón esmerejón,BAJA CALIFORNIA,02,SAN QUINTIN,02006,SANTO DOMINGO,MEXICO / BAJA CALIFORNIA,-115.9133333,30.7683333
Falco columbarius,halcón esmerejón,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Campos el Molino, Aguascalientes",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.3083782,21.9342082
Euptilotis neoxenus,"quetzal orejón, trogón orejón",CHIHUAHUA,08,MADERA,08040,"MX-CHIH-Madera (29.3207,-108.1633)",MEXICO / CHIHUAHUA / MADERA,-108.163273,29.320693
Eupsittula nana,perico pecho sucio,CAMPECHE,04,CAMPECHE,04002,19.751x-90.52 - 09/07/2017 9:58 a. m.,MEXICO / CAMPECHE / CAMPECHE,-90.5195522,19.7506027
Eupsittula canicularis,perico frente naranja,CHIAPAS,07,TUXTLA CHICO,07102,Rancho Roble y Primavera,MEXICO / CHIAPAS / TUXTLA CHICO,-92.2333156,14.8890147
Euphonia minuta,eufonia vientre blanco,CHIAPAS,07,OCOSINGO,07059,APFF CHAN-KIN -- MIRADOR,MEXICO / CHIAPAS / OCOSINGO,-90.7088498,16.6108612
Euphonia hirundinacea hirundinacea,eufonia garganta amarilla,CAMPECHE,04,CANDELARIA,04011,PACAITUN,MEXICO / CAMPECHE,-91.0833333,18.2166667
Euphonia hirundinacea caribbaea,eufonia garganta amarilla,OAXACA,20,MATIAS ROMERO AVENDAÑO,20057,24 MI. N. MATIAS ROMERO,MEXICO / OAXACA,-95.0333333,17.2233333
Euphonia hirundinacea,eufonia garganta amarilla,CAMPECHE,04,CALAKMUL,04010,Nuevo Becal 0.5 Km al Sureste,MEXICO / CAMPECHE / CALAKMUL,-89.3008333,18.605
Euphonia gouldi gouldi,eufonia olivácea,CHIAPAS,07,MARAVILLA TENEJAPA,07115,RodulfoF6,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3047778,16.2000833
Euphonia gouldi,eufonia olivácea,CAMPECHE,04,CALAKMUL,04010,"Camino / Ramal a Dos Lagunas, Campeche, MX (17.884, -89.337)",MEXICO / CAMPECHE / CALAKMUL,-89.3372508,17.8837125
Euphonia godmani,eufonia garganta negra,COLIMA,06,TECOMAN,06009,Boca de Apiza,MEXICO / COLIMA / TECOMAN,-103.7424167,18.6990278
Euphonia affinis olmecorum,eufonia garganta negra,OAXACA,20,SANTO DOMINGO TEHUANTEPEC,20515,Tehuantepec,MEXICO / OAXACA,-95.235,16.3266667
Euphonia affinis godmani,eufonia garganta negra,GUERRERO,12,LA UNION DE ISIDORO MONTES DE OCA,12068,El Limón,MEXICO / GUERRERO,-101.9833333,18.0833333
Euphonia affinis affinis,eufonia garganta negra,CAMPECHE,04,CAMPECHE,04002,CAMPECHE,MEXICO / CAMPECHE,-90.5233333,19.8416667
Euphonia affinis,eufonia garganta negra,CAMPECHE,04,CALAKMUL,04010,Nuevo Becal 0.5 Km al Sureste,MEXICO / CAMPECHE / CALAKMUL,-89.3008333,18.605
Eupherusa ridgwayi,ninfa mexicana,COLIMA,06,MINATITLAN,06008,El Terrero - col,MEXICO / COLIMA / MINATITLAN,-103.986642,19.42661
Eupherusa poliocerca,"colibrí cola blanca, colibrí guerrerense",GUERRERO,12,ATOYAC DE ALVAREZ,12011,Sierra de Atoyac--Nueva Delhi,MEXICO / GUERRERO / ATOYAC DE ALVAREZ,-100.1943898,17.4221123
Eupherusa eximia nelsoni,colibrí cola rayada,OAXACA,20,SANTIAGO COMALTEPEC,20458,"Metates, Km 65 Carretera Tuxtepec-Oaxaca",MEXICO / OAXACA,-96.33,17.6716667
Eupherusa eximia eximia,colibrí cola rayada,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cañada10,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3065833,16.2028889
Eupherusa eximia,colibrí cola rayada,CHIAPAS,07,MAPASTEPEC,07051,Mapastepec,MEXICO / CHIAPAS / MAPASTEPEC,-92.8922222,15.4244444
Eupherusa cyanophrys,"colibrí miahuatleco, colibrí oaxaqueño",OAXACA,20,PLUMA HIDALGO,20071,Pluma Hidalgo--Camino a Finca Las Trancas,MEXICO / OAXACA / DISTRITO POCHUTLA,-96.4243948,15.9462477
Euphagus cyanocephalus,"tordo ojo amarillo, tordo ojos amarillos",AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.233884,22.348508
Euphagus carolinus,tordo canadiense,BAJA CALIFORNIA,02,PLAYAS DE ROSARITO,02005,Arroyo Rosarito--Desembocadura,MEXICO / BAJA CALIFORNIA / PLAYAS DE ROSARITO,-117.0537472,32.3312382
Eumomota superciliosa superciliosa,momoto ceja azul,CAMPECHE,04,CAMPECHE,04002,CAMPECHE,MEXICO / CAMPECHE,-90.5233333,19.8416667
Eumomota superciliosa bipartita,momoto ceja azul,CHIAPAS,07,HUEHUETAN,07037,Huehuetán,MEXICO / CHIAPAS,-92.38,15.0183333
Eumomota superciliosa,"momoto ceja azul, momoto cejas azules",CAMPECHE,04,CHAMPOTON,04004,Carretera 180/Ciudad del Carmen-Champoton,MEXICO / CAMPECHE / CHAMPOTON,-91.0811126,19.0654622
Eugenes fulgens,colibrí magnífico,AGUASCALIENTES,01,AGUASCALIENTES,01001,El Sabinal,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.3739529,21.7539196
Eudocimus albus,ibis blanco,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Desarrollo Especial Parque Ecológico el Cedazo, Aguascalientes, Ags., México",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2598838,21.8656974
Eucometis penicillata pallida,tángara cabeza gris,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cafetal6,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3085278,16.1917778
Eucometis penicillata,tangara cabeza gris,CAMPECHE,04,CALAKMUL,04010,Calakmul - Dos Naciones camp area,MEXICO / CAMPECHE / CALAKMUL,-89.3645047,17.9672613
Eremophila alpestris enertera,alondra cornuda,BAJA CALIFORNIA,02,SAN QUINTIN,02006,EL ROSARIO,MEXICO / BAJA CALIFORNIA,-115.485,30.0416667
Eremophila alpestris,alondra cornuda,AGUASCALIENTES,01,EL LLANO,01010,"El Llano, Ags., México",MEXICO / AGUASCALIENTES / EL LLANO,-101.8663617,21.9350659
Empidonax wrightii,"mosquero gris, papamoscas bajacolita",AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.233884,22.348508
Empidonax virescens,"mosquero verdoso, papamoscas verdoso",CAMPECHE,04,HOPELCHEN,04006,Dzibalchén 8.63 Km al Sureste,MEXICO / CAMPECHE / HOPELCHEN,-89.6444444,19.4263889
Empidonax traillii traillii,mosquero saucero,BAJA CALIFORNIA,02,ENSENADA,02001,LA GRULLA,MEXICO / BAJA CALIFORNIA,-115.45,30.9166667
Empidonax traillii extimus,mosquero saucero,CHIAPAS,07,ACAPETAHUA,07003,"ACAPETAHUA, LA CONCEPCIóN, MANGLAR ZAPOTóN",MEXICO / CHIAPAS,-92.725,15.0416667
Empidonax traillii brewsteri,mosquero saucero,BAJA CALIFORNIA,02,ENSENADA,02001,OJOS NEGROS,MEXICO / BAJA CALIFORNIA,-116.2233333,31.8533333
Empidonax traillii adastus,mosquero saucero,COAHUILA DE ZARAGOZA,05,SAN PEDRO,05033,"LAS DELICIAS, 35MI NE SAN PEDRO",MEXICO / COAHUILA DE ZARAGOZA,-102.8666667,26.2166667
Empidonax traillii,"mosquero saucero, papamoscas saucero",AGUASCALIENTES,01,JESUS MARIA,01005,Cerro del Muerto,MEXICO / AGUASCALIENTES / JESUS MARIA,-102.4310303,21.8818898
Empidonax occidentalis hellmayri,mosquero californiano,SINALOA,25,CONCORDIA,25004,EL BATCH; 70KM NE MAZATLAN,MEXICO / SINALOA,-105.8133333,23.465
Empidonax occidentalis,"mosquero barranqueño, papamoscas amarillo barranqueño",AGUASCALIENTES,01,RINCON DE ROMOS,01007,PAbellon de SAn Blass,MEXICO / AGUASCALIENTES / RINCON DE ROMOS,-102.3505211,22.1796162
Empidonax oberholseri,"mosquero oscuro, papamoscas matorralero",AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.233884,22.348508
Empidonax minimus,"mosquero mímimo, papamoscas chico",AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,3 km E La Congoja,MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.53333,22.16667
Empidonax hammondii,"mosquero de Hammond, papamoscas de Hammond",AGUASCALIENTES,01,RINCON DE ROMOS,01007,PAbellon de SAn Blass,MEXICO / AGUASCALIENTES / RINCON DE ROMOS,-102.3505211,22.1796162
Empidonax fulvifrons,"mosquero pecho leonado, papamoscas pecho canela",AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,"San José de Gracia, Ags., México",MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.5555194,22.0922817
Empidonax flaviventris,"mosquero vientre amarillo, papamoscas vientre amarillo",BAJA CALIFORNIA,02,SAN QUINTIN,02006,creek crossing south of Catavina,MEXICO / BAJA CALIFORNIA / ENSENADA,-114.6408582,29.656867
Empidonax flavescens,"mosquero amarillento, papamoscas amarillo sureño",CHIAPAS,07,UNION JUAREZ,07105,Camino Talquian-Chiquihuites,MEXICO / CHIAPAS / UNION JUAREZ,-92.085257,15.086542
Empidonax difficilis insulicola,mosquero californiano,SINALOA,25,ANGOSTURA,25002,ISLA LAS TUNAS,MEXICO / SINALOA,-108.1,24.86
Empidonax difficilis cineritius,mosquero californiano,BAJA CALIFORNIA,02,SAN QUINTIN,02006,San Agustín,MEXICO / BAJA CALIFORNIA,-114.9666667,29.9333333
Empidonax difficilis,"mosquero californiano, papamoscas amarillo del pacífico",BAJA CALIFORNIA,02,ENSENADA,02001,"(31.5665,-116.4172)",MEXICO / BAJA CALIFORNIA / ENSENADA,-116.417229,31.56654
Empidonax alnorum,"mosquero ailero, papamoscas ailero",CAMPECHE,04,CANDELARIA,04011,"Ejido El Pañuelo, El Mirador",MEXICO / CAMPECHE / CANDELARIA,-90.320033,18.0200666
Empidonax albigularis timidus,mosquero garganta blanca,CHIAPAS,07,COMITAN DE DOMINGUEZ,07019,"O SANTA ROSA, LA INDEPENDENCIA",MEXICO / CHIAPAS,-92.1866667,16.2516667
Empidonax albigularis albigularis,mosquero garganta blanca,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cafetal9,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3075,16.1900278
Empidonax albigularis,"mosquero garganta blanca, papamoscas garganta blanca",BAJA CALIFORNIA SUR,03,MULEGE,03002,ZONA GEOTERMICA TRES VIRGENES 33 KM NW SANTA ROSALIA,MEXICO / BAJA CALIFORNIA SUR,-112.5,27.3919444
Empidonax affinis vigensis,mosquero pinero,VERACRUZ DE IGNACIO DE LA LLAVE,30,LAS VIGAS DE RAMIREZ,30132,LAS VIGAS,MEXICO / VERACRUZ DE IGNACIO DE LA LLAVE,-97.1166667,19.6333333
Empidonax affinis trepidus,mosquero pinero,CHIAPAS,07,SAN CRISTOBAL DE LAS CASAS,07078,5 MI S CIUDAD DE LAS CASAS,MEXICO / CHIAPAS,-92.6166667,16.6583333
Empidonax affinis pulverius,mosquero pinero,CHIHUAHUA,08,NAMIQUIPA,08048,ARROYO MESTENO; SIERRA DEL NIDO,MEXICO / CHIHUAHUA,-106.7816667,29.53
Empidonax affinis bairdi,mosquero pinero,CIUDAD DE MEXICO,09,TLALPAN,09012,"LA CIMA, LIMITE DEL ESTADO EN EL S",MEXICO / DISTRITO FEDERAL,-99.1983333,19.1033333
Empidonax affinis affinis,mosquero pinero,CHIAPAS,07,SAN CRISTOBAL DE LAS CASAS,07078,6 mi SE San Cristobal de las Casas,MEXICO / CHIAPAS,-92.5666667,16.6666667
Empidonax affinis,"mosquero pinero, papamoscas pinero",AGUASCALIENTES,01,CALVILLO,01003,"Cabañas Sierra Escondida, Calvillo.",MEXICO / AGUASCALIENTES / CALVILLO,-102.7233052,21.7232702
